iter	Passed	Remaining
0	274	40875
1	460	34101
2	660	32345
3	893	32598
4	1185	34367
5	1487	35706
6	1692	34581
7	1890	33551
8	2104	32976
9	2318	32456
10	2533	32012
11	2739	31505
12	2935	30931
13	3129	30402
14	3362	30265
15	3582	30006
16	3795	29691
17	3993	29285
18	4197	28941
19	4396	28577
20	4598	28248
21	4796	27904
22	5010	27664
23	5217	27389
24	5420	27103
25	5624	26824
26	5848	26641
27	6081	26498
28	6304	26304
29	6515	26060
30	6723	25810
31	6925	25536
32	7124	25257
33	7325	24994
34	7526	24730
35	7730	24480
36	7931	24222
37	8133	23972
38	8349	23762
39	8562	23546
40	8757	23282
41	8948	23011
42	9142	22749
43	9337	22493
44	9547	22277
45	9745	22033
46	9942	21788
47	10137	21542
48	10334	21301
49	10528	21057
50	10736	20842
51	10955	20647
52	11163	20430
53	11364	20204
54	11566	19978
55	11763	19746
56	11964	19520
57	12167	19300
58	12365	19072
59	12570	18855
60	12756	18611
61	12950	18380
62	13154	18165
63	13379	17978
64	13602	17787
65	13798	17562
66	13995	17338
67	14194	17117
68	14398	16902
69	14595	16680
70	14793	16460
71	14993	16242
72	15185	16017
73	15371	15786
74	15572	15572
75	15793	15378
76	16015	15183
77	16246	14996
78	16483	14814
79	16702	14614
80	16917	14410
81	17154	14225
82	17369	14021
83	17601	13829
84	17820	13627
85	18061	13441
86	18275	13233
87	18512	13042
88	18723	12833
89	18933	12622
90	19144	12412
91	19375	12215
92	19604	12015
93	19810	11801
94	20005	11581
95	20194	11359
96	20400	11146
97	20619	10940
98	20817	10723
99	21010	10505
100	21198	10284
101	21391	10066
102	21579	9846
103	21772	9629
104	21963	9412
105	22159	9198
106	22354	8983
107	22545	8767
108	22737	8552
109	22929	8338
110	23125	8125
111	23326	7914
112	23522	7701
113	23719	7490
114	23915	7278
115	24115	7068
116	24315	6858
117	24494	6642
118	24670	6426
119	24846	6211
120	25023	5997
121	25206	5785
122	25386	5572
123	25562	5359
124	25753	5150
125	25931	4939
126	26104	4727
127	26283	4517
128	26461	4307
129	26640	4098
130	26826	3890
131	27012	3683
132	27189	3475
133	27368	3267
134	27547	3060
135	27721	2853
136	27904	2647
137	28080	2441
138	28259	2236
139	28434	2031
140	28610	1826
141	28787	1621
142	28961	1417
143	29137	1214
144	29313	1010
145	29491	807
146	29665	605
147	29847	403
148	30023	201
149	30201	0
